122,109,114,119,104,115,109,109,118,108,114,115,105,118,105,119,121,110,121,111,105,115,110,113,100,106,113,105,125,116,109,118,110,117,108,114,115,112,128,125,112,121,104,119,114,110,118,110,131,125,110,114,95,124,107,106,120,112,129,110,110,117,102,121,113,115,113,116,132,106,111,112,94,127,107,109,112,111,129,107,119,118,102,126,106,110,130,113,130,98,109,113,99,117,111,108,122,106,106,108
228,216,229,227,243,220,217,241,224,241,220,211,249,227,245,228,218,249,234,243,219,232,235,248,230,223,229,239,242,243,222,233,243,241,233,224,239,236,250,247,228,251,247,248,233,224,250,240,247,214,224,223,250,249,235,229,220,242,260,226,222,224,243,266,219,219,212,236,238,224,220,228,251,240,210,230,228,243,250,222,230,226,240,232,228,207,236,245,230,221,217,239,248,240,222,215,235,241,239,227
345,344,352,360,370,366,358,371,374,362,357,352,361,374,369,348,344,352,375,358,344,363,368,394,369,336,341,345,353,365,348,347,341,360,342,344,343,349,366,365,370,334,338,354,376,361,364,351,364,366,360,339,346,357,369,374,378,344,354,364,356,359,347,354,370,360,337,328,344,380,355,341,339,364,359,361,348,336,330,363,360,365,353,337,347,345,357,346,345,362,371,355,337,343,345,373,375,356,361,358
500,471,491,476,477,500,446,490,485,488,499,447,485,487,469,512,466,475,491,469,497,461,464,461,504,498,462,472,468,481,485,479,496,467,482,489,479,499,475,491,481,507,502,466,488,480,464,507,480,486,464,450,491,471,490,466,470,487,476,493,475,476,476,455,502,475,480,481,470,500,486,485,474,473,514,465,480,487,492,493,461,484,482,474,513,464,495,487,479,475,458,465,471,487,489,459,465,478,510,499
587,577,597,592,588,580,601,589,608,600,626,611,601,608,573,596,582,580,573,589,582,581,596,599,589,624,600,629,596,596,601,602,610,598,612,596,623,608,605,598,618,605,615,609,612,616,622,611,598,619,587,620,587,621,588,624,600,627,629,633,623,630,602,631,616,643,625,630,631,626,619,631,639,650,662,640,621,607,608,627,610,610,616,627,609,627,607,621,605,625,611,617,612,627,608,612,617,586,605,605
723,738,716,744,722,735,705,710,724,755,714,721,725,729,732,709,730,744,734,743,720,757,744,709,739,747,773,708,710,745,715,716,721,717,753,706,718,732,729,755,709,719,752,717,739,749,721,743,698,756,708,738,711,711,741,735,708,705,728,741,723,711,749,729,726,726,728,753,764,696,736,718,749,725,697,735,718,725,733,709,742,698,713,728,731,753,715,715,750,728,756,734,728,752,711,746,737,738,748,703
844,834,829,838,832,846,818,819,866,897,859,841,873,879,879,839,832,865,868,886,830,834,843,838,857,840,828,853,883,858,854,857,880,889,846,834,883,867,899,829,820,821,837,849,829,818,897,885,864,852,842,874,870,850,829,873,866,888,841,829,819,847,860,851,848,883,898,878,855,861,866,858,842,845,858,858,872,835,818,845,878,880,860,836,860,874,875,819,846,859,876,835,838,850,872,872,823,828,833,866
1037,976,933,971,979,996,1016,960,951,982,965,1019,995,970,941,982,1015,979,954,958,996,1009,950,1000,966,950,998,991,977,982,979,986,1000,983,951,984,954,1015,990,969,982,974,976,1015,970,964,976,976,1042,990,980,957,984,1037,992,961,959,981,996,948,1009,963,963,992,971,978,1002,960,952,1001,982,963,946,962,993,1001,953,942,955,981,1014,984,957,964,982,1012,1002,987,946,991,1022,964,939,959,972,1015,963,967,987,964
1101,1099,1136,1069,1105,1091,1100,1134,1091,1090,1092,1133,1085,1092,1135,1086,1131,1114,1106,1118,1077,1112,1107,1078,1087,1086,1078,1095,1136,1082,1124,1143,1086,1139,1100,1122,1115,1064,1109,1117,1076,1125,1117,1071,1075,1091,1088,1097,1148,1097,1121,1067,1131,1127,1091,1100,1120,1103,1103,1069,1089,1104,1113,1090,1107,1166,1089,1135,1083,1121,1156,1077,1109,1097,1090,1136,1077,1121,1105,1107,1092,1123,1133,1091,1122,1094,1085,1129,1086,1125,1089,1097,1133,1079,1117,1096,1113,1096,1141,1114
1187,1239,1185,1204,1204,1227,1189,1202,1188,1211,1208,1213,1217,1247,1250,1226,1199,1207,1183,1219,1253,1264,1217,1238,1230,1239,1233,1219,1215,1218,1228,1221,1233,1248,1246,1269,1255,1263,1264,1275,1290,1263,1243,1262,1292,1256,1210,1250,1229,1272,1264,1243,1244,1238,1254,1236,1205,1221,1227,1195,1209,1214,1219,1224,1202,1236,1236,1239,1220,1218,1196,1206,1191,1215,1195,1210,1209,1204,1212,1212,1243,1223,1229,1239,1260,1236,1204,1222,1189,1193,1220,1198,1209,1206,1206,1234,1245,1260,1243,1251
