532,531,502,401,398,488,438,455,391,350,410,469,384,480,412,440,428,455,518,406,591,411,581,488,438,455,391,350,410,469,384,480,412,440,428,455,518,406,591,411,581,488,438,455,391,350,410,469,384,480,412,440,428,455,518,406,591,411,581,488,438,455,391,350,410,469,384,480,412,440,428,455,518,406,591,411,581,488,438,455,391,350,410,469,384,480,412,440,428,455,518,406,591,411,581,488,438,455,391,350
858,941,921,1172,902,1207,1007,1283,1119,1310,1290,1401,1371,1356,1270,1488,1389,1355,1464,1329,1249,1486,1585,1709,1518,1761,1712,1686,1942,1548,1521,1786,1826,1688,1867,2119,1970,1905,1922,1945,1862,2102,1996,2162,1994,2122,2120,2366,2605,2304,2220,2272,2176,2555,2299,2290,2331,2561,2317,2368,2719,2439,2486,2543,2492,2766,2890,2535,2524,2974,2814,2744,2926,2915,3044,2968,3125,3285,2910,2871,2978,2981,3248,3064,3278,3135,2852,2777,3043,3323,2910,2770,2757,2664,2912,2931,2897,3093,2765,2834
3261,4272,3733,3467,4076,3897,3747,4189,4061,4392,4447,4569,4596,4667,4736,4813,4973,5018,5254,5157,5157,5192,5272,5434,5350,5573,5377,5925,5437,5662,5679,5960,5726,5761,5993,5940,5874,6120,6409,6649,6694,6988,6939,6979,6694,7189,7230,6887,7134,7511,7347,7485,7758,7785,7646,7807,8004,8062,7875,8289,8253,8668,8541,8577,8719,9139,8832,9048,8993,9717,8845,9321,9648,9585,9867,9795,9719,9713,9882,10091,9918,9889,10016,10287,10414,10989,10426,10636,10233,10304,10310,9980,9911,10238,10661,9986,10437,10313,10264,10612
11007,11038,11250,12123,12077,11844,12206,13080,12272,12341,12917,12865,12877,13389,13274,13507,14461,14187,14451,14560,13841,15266,14975,14787,15557,15093,15132,15155,17590,15501,15368,16047,16066,16272,15984,16983,16738,16955,16732,16949,16940,17114,17266,17354,18351,17830,18142,18469,18193,18617,18627,18744,18858,18854,19229,19796,19806,19784,19833,20298,20466,19967,21580,20356,20517,20895,21152,20687,21245,21189,21220,22243,21700,22158,22404,23523,22922,22732,22740,23196,22824,21871,22384,23125,23044,22688,22623,23105,22794,22657,21974,22933,24458,22950,22128,22790,23053,23358,22813,22958
23562,24278,23833,24199,24940,24339,24331,25614,24286,25012,25160,25570,25586,26017,25844,27156,26196,26915,26909,27986,27145,27477,28021,28641,28546,28163,28824,28622,30126,29298,29595,31452,30251,30310,30297,30808,31165,30905,31409,33154,32758,32071,32814,33215,32852,33453,33239,33885,35093,33554,33829,33769,34915,34878,35284,35958,35526,36199,36001,36027,36330,38170,37168,36738,38408,38349,37628,38444,38427,38520,38909,39738,40437,39067,39794,41113,39953,41062,40220,41598,40148,40390,40380,40091,39944,40708,40450,39120,39563,40155,40972,39892,40765,39790,40697,40257,40563,40057,39688,40482
41455,40820,41791,42609,42908,41952,43268,43401,43568,44388,44297,44681,44544,45139,44793,45229,46407,46214,47098,47964,47143,48352,47693,47747,47918,47904,49538,48203,49336,48494,50127,51463,49881,49999,51266,51857,50602,52318,51476,51390,51545,51961,51943,52706,53341,54124,53707,53915,54290,56286,54611,56311,55169,55572,55931,57571,55876,55955,57342,56590,56879,56838,57852,57033,59153,57887,57776,58359,59817,59115,59319,60438,61062,60800,60561,61432,61703,61872,61850,63066,64073,63486,63864,62585,63594,62606,65078,65131,63449,64006,62700,63842,63494,63161,64432,64193,63382,64546,63630,63205
65258,64490,65656,65144,65597,66732,66419,66394,67746,67466,67932,68674,69932,69229,69178,70337,71069,71009,70495,73049,72125,72392,73421,73008,73450,75439,73638,75388,74953,76815,76731,76072,76447,76350,77167,77862,77642,77659,80570,78474,79088,79077,79566,80299,81379,80899,81392,81988,82567,82775,83263,82807,83802,83185,84466,84710,84848,85003,85529,85428,85353,87864,87248,87729,88828,88336,88449,89820,88081,89186,90082,89144,89807,90117,90929,90203,90838,90853,91067,90999,91792,91546,91163,91066,90799,92223,91343,92531,91158,90846,91757,91714,92237,92491,92109,91635,91933,92224,91281,91073
91963,94567,94044,94023,95969,95309,94354,95140,95525,96087,95304,96867,98725,98535,97665,97666,98658,100264,101089,101752,102477,102757,102864,103174,104087,104171,104562,104199,105354,107945,106284,104796,106021,105547,104973,106094,105497,105745,106428,106137,106843,105797,105760,106329,106420,105561,105175,105129,105085,105042,104990,105191,105016,106280,106755,107447,107517,107588,107900,108390,109957,110282,109811,110244,110834,111427,111410,110934,111714,111517,112489,112956,113536,113923,114504,114027,114577,115129,116196,116234,116835,119327,118453,119345,119594,120152,122296,120002,120288,119138,121361,121044,120443,120480,122563,120777,121486,121002,121802,121632
123054,123358,122510,124232,125920,123969,126371,124717,125216,125178,127065,127232,126594,130003,128137,131831,130437,130367,129471,131341,130772,132705,132614,133769,134933,135245,135764,135689,138076,135615,137725,136541,137001,138047,138972,138462,141252,140102,141625,140767,141079,142404,143887,143591,143262,143882,146231,144674,145373,147362,145528,145837,146612,149500,148236,147504,149009,148812,151606,149835,151887,152422,153468,152422,154462,155151,153556,154569,155709,156854,154967,157346,157664,157373,157939,158753,160289,158970,160993,159818,159704,159800,164787,159298,160660,160126,160433,161225,160078,161977,162043,163097,161482,160895,162076,159800,161164,162707,160160,159921
164829,162264,162263,163246,165515,165747,166342,165167,167846,167616,167317,169418,169537,171085,169836,169933,170543,172154,173594,171869,172659,173248,174547,175758,175669,175312,175892,178687,177370,179964,177826,179902,179753,179643,181398,179877,180403,182611,183201,183093,184138,183376,184293,186112,186115,186224,187756,187246,187357,189987,193133,191093,190325,189503,192065,191254,191303,193104,193378,195425,192993,193714,194634,196784,197929,197522,197190,197876,197610,198230,199214,199883,204656,201647,201955,206337,205063,202214,202839,202345,201944,204298,203302,205110,201936,203457,203005,203168,203570,204049,204706,203529,203994,202694,202355,203006,203081,203283,202931,203830
